Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
8.571433590986999e-05,-40535.99622922661,344.8991502947271,-597382.464769138,0.00456215110637565,6969495218.544938,-4.305812126825825e-05,-1.7212036783445288e-08,219.19484398543716,0.9620324781747727,11698.928147393486,2.0687868406007075,0.0008269760534994964,11223.654827312026,3.6296155828383927e-06,-593.1946821382887,1.042345490334954,-3223186555.267326,287177.9301541984,1256.9240467080003,-14704664.10916795,1260.4313281100863
8.571433590986999e-05,-23490.77079613569,420.28278406603727,-597383.094793392,0.004289723047408346,6969495218.579036,-3.154409462706813e-05,-1.4836620823326287e-08,233.11528248989276,1.023129492259643,12429.255541539082,1.7141923729364028,0.0008062625526640203,11936.46013424761,3.5386937373015566e-06,-508.88318343421963,1.0412847360915514,-3512385208.8474464,294256.8115220919,1212.2334866649096,-15067159.781769067,1291.4968453415581
8.571433590986999e-05,-6445.54536304435,491.3451088673951,-597383.5594402313,0.00405385439825978,6969495218.598906,-2.3444782721092833e-05,-1.2903960919243268e-08,246.6788152108461,1.0826598950000108,13138.838971761588,1.4266252944352253,0.0007852116722427006,12630.986679494612,3.4462937858583342e-06,-443.70546679460585,1.0402067372893395,-3812454708.7877564,301833.4483141766,1176.293911707277,-15455136.289385457,1324.7477218907754
8.571433590986999e-05,10599.680070046472,558.6499573783519,-597383.907379635,0.0038478564563723247,6969495218.610542,-1.770463797691532e-05,-1.1317858306609963e-08,259.8849544774282,1.1406215858674629,13828.076376029407,1.1957746051181624,0.000764410295483929,13307.210376442876,3.354990944106871e-06,-392.7668978170173,1.0391415380927023,-4121643428.0750546,309730.05751862953,1146.9051691871732,-15859492.275583161,1359.403520706058
8.571433590986999e-05,27644.905503137936,622.6599184299981,-597384.1722110531,0.0036664730536811966,6969495218.617439,-1.3593384809324606e-05,-1.0005198254532633e-08,272.7416744535963,1.1970495936834111,14497.768770457436,1.0111849944362477,0.0007442668977047673,13965.540204693918,3.266577498276788e-06,-352.44780561228,1.0381100484954076,-4438213628.210388,317797.4650970442,1122.4203483968663,-16272590.674314044,1394.809394363889
8.571433590986999e-05,44690.13093622886,683.7577257540316,-597384.3771725266,0.003505542389254031,6969495218.621585,-1.0611709982012553e-05,-8.909854626088611e-09,285.262561099082,1.252003569677378,15148.951133147353,0.8635250215170723,0.0007250370035318261,14606.672322023614,3.1821745459532446e-06,-320.0978480076011,1.0371253479616216,-4760565743.451187,325917.17801291845,1101.6185123195119,-16688365.010498768,1430.4451796921844
8.571433590986999e-05,61735.356369320514,742.2626668706621,-597384.5384349069,0.0033617456615188802,6969495218.624122,-8.419578420283232e-06,-7.988444000474288e-09,297.4645022812901,1.3055576512009681,15782.768154258274,0.7450074920528832,0.000706858506817975,15231.471829723681,3.1023870019652642e-06,-293.7800148434704,1.036194493826884,-5087298310.707334,333999.10880573175,1083.5997118958146,-17102203.024872705,1465.915407561377
8.571433590986999e-05,78780.58180241095,798.4432619788971,-597384.6673541314,0.0032324174951825877,6969495218.625705,-6.785006538736339e-06,-7.207240036162621e-09,309.36597809235457,1.3577929594464335,16400.390202943858,0.649374713305906,0.0006897855448613329,15840.885262891188,3.027452252629051e-06,-272.0739873802948,1.0353202555965955,-5417225057.37347,341977.4018558078,1067.7022213564371,-17510733.050795503,1500.9309800443075
8.571433590986999e-05,95825.80723550195,852.5271181113035,-597384.7719931372,0.003115401835343725,6969495218.626712,-5.548799597449487e-06,-6.539878242996394e-09,320.9858801054693,1.4087924183441407,17002.960502000846,0.5717035607124781,0.0006738163115254122,16435.880156657586,2.957362208573416e-06,-253.93158948472944,1.034502538894814,-5749366936.7618,349805.82895655563,1053.4393880844732,-17911588.30685224,1535.2889575743611
8.571433590986999e-05,112871.03266859369,904.7086306839838,-597384.8581464458,0.0030089418643161566,6969495218.6273775,-4.6007779725897e-06,-5.965629835404062e-09,332.34274542132783,1.4586373936769188,17591.564543314365,0.5081637503926767,0.0006589139594812888,17017.40584478864,2.891955028983706e-06,-238.57284259992483,1.033739455579807,-6082931569.477554,357453.5029830961,1040.4525084795534,-18303187.457171395,1568.8537429374628
8.571433590986999e-05,129916.25810168471,955.1550374891395,-597384.9300312204,0.0029115955727303383,6969495218.627821,-3.863903730913851e-06,-5.468097278962274e-09,343.4542933661125,1.5074056602955395,18167.21445111218,0.45578937472117514,0.0006450214118309103,17586.369750225305,2.8309801177236404e-06,-225.41192495038194,1.0330280820316973,-6417287898.764983,364901.21409342275,1028.4761643156717,-18684547.0349801,1601.5409982934573
8.571433590986999e-05,146961.48353477544,1004.0112066636794,-597384.9907559765,0.0028221707426112413,6969495218.628125,-3.2837060532087816e-06,-5.034226032113609e-09,354.3371720574001,1.5551702902659275,18730.84292788047,0.4122851602115293,0.0006320714012031715,18143.624417986528,2.7741421759613456e-06,-214.00454220247784,1.0323649730994637,-6751940506.217752,372138.45131845487,1017.3129434626948,-19055128.95249948,1633.3045709956837
8.571433590986999e-05,164006.70896786766,1051.4034476480695,-597385.0426410292,0.002739674651922899,6969495218.628344,-2.821217427674273e-06,-4.653554220890739e-09,365.0068446259225,1.6019991538349274,19283.30306585268,0.3758707883639711,0.0006199930131378145,18689.961696320217,2.721129914566845e-06,-204.01043529570606,1.031746497078717,-7086505852.816746,379161.05789566925,1006.8150870918657,-19414720.455665305,1664.1262014026468
8.571433590986999e-05,181051.93440095862,1097.442564552461,-597385.0874396496,0.002663274969725077,6969495218.628505,-2.448226898802993e-06,-4.317641452061961e-09,375.4775647905508,1.6479548124727244,19825.371551396125,0.34515935623131044,0.0006087157790644174,19226.111491165437,2.6716340135115397e-06,-195.16654810328245,1.0311690452379028,-7420691401.266475,385969.42546129506,996.8711867927314,-19763341.66704711,1694.0075961104988
8.571433590986999e-05,198097.15983404877,1142.2263189497212,-597385.1264922624,0.0025922691834777407,6969495218.628627,-2.144066019174118e-06,-4.01963251739149e-09,385.7624070731799,1.6930946516618837,20357.753668408004,0.31906411330739815,0.00059817210548261,19752.74331701375,2.6253577801868682e-06,-187.26769869746428,1.030629156165282,-7754277844.354979,392567.1251146287,987.3965381180266,-20101175.49604562,1722.9644188936395
8.571433590986999e-05,215142.38526713997,1185.841429657968,-597385.1608351415,0.0025260605560443036,6969495218.628724,-1.89341550454423e-06,-3.753922754160265e-09,395.8733283757674,1.7374711512863803,20881.089102481936,0.2967279212640779,0.0005882986025806453,20270.46945265083,2.5820229783203438e-06,-180.1525232791258,1.0301235837729104,-8087104289.081691,398959.8823954022,978.3261331343981,-20428515.157265965,1751.0217912887815
